# source_id	kind	status	crystal_refs	notes
examples/examples/fmt/yak_shave.rs::func::shave	func	missing	-	auto-generated
examples/examples/fmt/yak_shave.rs::func::shave_all	func	missing	-	auto-generated
examples/examples/futures-proxy-server.rs::enum::LogFormat	enum	missing	-	auto-generated
examples/examples/futures-proxy-server.rs::struct::Args	struct	missing	-	auto-generated
examples/examples/serde-yak-shave.rs::struct::JsonSubscriber	struct	missing	-	auto-generated
examples/examples/sloggish/sloggish_subscriber.rs::func::enter	func	missing	-	auto-generated
examples/examples/sloggish/sloggish_subscriber.rs::func::exit	func	missing	-	auto-generated
examples/examples/sloggish/sloggish_subscriber.rs::func::id	func	missing	-	auto-generated
examples/examples/sloggish/sloggish_subscriber.rs::func::new	func	missing	-	auto-generated
examples/examples/sloggish/sloggish_subscriber.rs::method::CurrentSpanPerThread.new	method	missing	-	auto-generated
examples/examples/sloggish/sloggish_subscriber.rs::method::SloggishSubscriber.new	method	missing	-	auto-generated
examples/examples/sloggish/sloggish_subscriber.rs::struct::CurrentSpanPerThread	struct	missing	-	auto-generated
examples/examples/sloggish/sloggish_subscriber.rs::struct::SloggishSubscriber	struct	missing	-	auto-generated
examples/examples/tower-server.rs::struct::MakeSvc	struct	missing	-	auto-generated
examples/examples/tower-server.rs::struct::Svc	struct	missing	-	auto-generated
examples/examples/valuable_instrument.rs::func::run	func	missing	-	auto-generated
tracing-appender/src/non_blocking.rs::const::DEFAULT_BUFFERED_LINES_LIMIT	const	missing	-	auto-generated
tracing-appender/src/non_blocking.rs::func::buffered_lines_limit	func	missing	-	auto-generated
tracing-appender/src/non_blocking.rs::func::dropped_lines	func	missing	-	auto-generated
tracing-appender/src/non_blocking.rs::func::error_counter	func	missing	-	auto-generated
tracing-appender/src/non_blocking.rs::func::lossy	func	missing	-	auto-generated
tracing-appender/src/non_blocking.rs::func::thread_name	func	missing	-	auto-generated
tracing-appender/src/non_blocking.rs::method::ErrorCounter.dropped_lines	method	missing	-	auto-generated
