# source_api_id	status	crystal_refs	notes
examples/examples/fmt/yak_shave.rs::func::shave	missing	-	baseline
examples/examples/fmt/yak_shave.rs::func::shave_all	missing	-	baseline
examples/examples/futures-proxy-server.rs::enum::LogFormat	missing	-	baseline
examples/examples/futures-proxy-server.rs::struct::Args	missing	-	baseline
examples/examples/serde-yak-shave.rs::struct::JsonSubscriber	missing	-	baseline
examples/examples/sloggish/sloggish_subscriber.rs::func::enter	missing	-	baseline
examples/examples/sloggish/sloggish_subscriber.rs::func::exit	missing	-	baseline
examples/examples/sloggish/sloggish_subscriber.rs::func::id	missing	-	baseline
examples/examples/sloggish/sloggish_subscriber.rs::func::new	missing	-	baseline
examples/examples/sloggish/sloggish_subscriber.rs::method::CurrentSpanPerThread.new	missing	-	baseline
examples/examples/sloggish/sloggish_subscriber.rs::method::SloggishSubscriber.new	missing	-	baseline
examples/examples/sloggish/sloggish_subscriber.rs::struct::CurrentSpanPerThread	missing	-	baseline
examples/examples/sloggish/sloggish_subscriber.rs::struct::SloggishSubscriber	missing	-	baseline
examples/examples/tower-server.rs::struct::MakeSvc	missing	-	baseline
examples/examples/tower-server.rs::struct::Svc	missing	-	baseline
examples/examples/valuable_instrument.rs::func::run	missing	-	baseline
tracing-appender/src/non_blocking.rs::const::DEFAULT_BUFFERED_LINES_LIMIT	missing	-	baseline
tracing-appender/src/non_blocking.rs::func::buffered_lines_limit	missing	-	baseline
tracing-appender/src/non_blocking.rs::func::dropped_lines	missing	-	baseline
tracing-appender/src/non_blocking.rs::func::error_counter	missing	-	baseline
tracing-appender/src/non_blocking.rs::func::lossy	missing	-	baseline
tracing-appender/src/non_blocking.rs::func::thread_name	missing	-	baseline
tracing-appender/src/non_blocking.rs::method::ErrorCounter.dropped_lines	missing	-	baseline
tracing-appender/src/non_blocking.rs::method::NonBlockingBuilder.buffered_lines_limit	missing	-	baseline
tracing-appender/src/non_blocking.rs::struct::ErrorCounter	missing	-	baseline
tracing-appender/src/non_blocking.rs::struct::NonBlocking	missing	-	baseline
tracing-appender/src/non_blocking.rs::struct::NonBlockingBuilder	missing	-	baseline
tracing-appender/src/non_blocking.rs::struct::WorkerGuard	missing	-	baseline
tracing-appender/src/rolling.rs::const::DAILY	missing	-	baseline
tracing-appender/src/rolling.rs::const::HOURLY	missing	-	baseline
tracing-appender/src/rolling.rs::const::MINUTELY	missing	-	baseline
tracing-appender/src/rolling.rs::const::NEVER	missing	-	baseline
tracing-appender/src/rolling.rs::const::WEEKLY	missing	-	baseline
tracing-appender/src/rolling.rs::func::builder	missing	-	baseline
tracing-appender/src/rolling.rs::func::daily	missing	-	baseline
tracing-appender/src/rolling.rs::func::hourly	missing	-	baseline
tracing-appender/src/rolling.rs::func::minutely	missing	-	baseline
tracing-appender/src/rolling.rs::func::never	missing	-	baseline
tracing-appender/src/rolling.rs::func::new	missing	-	baseline
tracing-appender/src/rolling.rs::func::weekly	missing	-	baseline
tracing-appender/src/rolling.rs::method::RollingFileAppender.new	missing	-	baseline
tracing-appender/src/rolling.rs::struct::RollingFileAppender	missing	-	baseline
tracing-appender/src/rolling.rs::struct::RollingWriter	missing	-	baseline
tracing-appender/src/rolling.rs::struct::Rotation	missing	-	baseline
tracing-appender/src/rolling/builder.rs::func::build	missing	-	baseline
tracing-appender/src/rolling/builder.rs::func::filename_prefix	missing	-	baseline
tracing-appender/src/rolling/builder.rs::func::filename_suffix	missing	-	baseline
tracing-appender/src/rolling/builder.rs::func::max_log_files	missing	-	baseline
tracing-appender/src/rolling/builder.rs::func::rotation	missing	-	baseline
tracing-appender/src/rolling/builder.rs::struct::Builder	missing	-	baseline
tracing-appender/src/rolling/builder.rs::struct::InitError	missing	-	baseline
tracing-attributes/src/lib.rs::func::instrument	missing	-	baseline
tracing-attributes/tests/async_fn.rs::trait::Test	missing	-	baseline
tracing-attributes/tests/async_fn.rs::trait::TestA	missing	-	baseline
tracing-attributes/tests/async_fn.rs::trait::TestB	missing	-	baseline
tracing-attributes/tests/async_fn.rs::trait::TestC	missing	-	baseline
tracing-attributes/tests/instrument.rs::func::my_other_fn	missing	-	baseline
tracing-attributes/tests/targets.rs::const::MODULE_PATH	missing	-	baseline
tracing-attributes/tests/targets.rs::func::custom_target	missing	-	baseline
tracing-attributes/tests/targets.rs::func::default_target	missing	-	baseline
tracing-core/src/callsite.rs::func::interest	missing	-	baseline
tracing-core/src/callsite.rs::func::rebuild_interest_cache	missing	-	baseline
tracing-core/src/callsite.rs::func::register	missing	-	baseline
tracing-core/src/callsite.rs::struct::DefaultCallsite	missing	-	baseline
tracing-core/src/callsite.rs::struct::Identifier	missing	-	baseline
tracing-core/src/callsite.rs::struct::Private	missing	-	baseline
tracing-core/src/callsite.rs::trait::Callsite	missing	-	baseline
tracing-core/src/dispatcher.rs::func::clone_span	missing	-	baseline
tracing-core/src/dispatcher.rs::func::current_span	missing	-	baseline
tracing-core/src/dispatcher.rs::func::downgrade	missing	-	baseline
tracing-core/src/dispatcher.rs::func::drop_span	missing	-	baseline
tracing-core/src/dispatcher.rs::func::enabled	missing	-	baseline
tracing-core/src/dispatcher.rs::func::enter	missing	-	baseline
tracing-core/src/dispatcher.rs::func::event	missing	-	baseline
tracing-core/src/dispatcher.rs::func::exit	missing	-	baseline
tracing-core/src/dispatcher.rs::func::has_been_set	missing	-	baseline
tracing-core/src/dispatcher.rs::func::new_span	missing	-	baseline
tracing-core/src/dispatcher.rs::func::none	missing	-	baseline
tracing-core/src/dispatcher.rs::func::record	missing	-	baseline
tracing-core/src/dispatcher.rs::func::record_follows_from	missing	-	baseline
tracing-core/src/dispatcher.rs::func::register_callsite	missing	-	baseline
tracing-core/src/dispatcher.rs::func::set_default	missing	-	baseline
tracing-core/src/dispatcher.rs::func::set_global_default	missing	-	baseline
tracing-core/src/dispatcher.rs::func::try_close	missing	-	baseline
tracing-core/src/dispatcher.rs::func::upgrade	missing	-	baseline
tracing-core/src/dispatcher.rs::method::Dispatch.none	missing	-	baseline
tracing-core/src/dispatcher.rs::method::WeakDispatch.upgrade	missing	-	baseline
tracing-core/src/dispatcher.rs::struct::DefaultGuard	missing	-	baseline
tracing-core/src/dispatcher.rs::struct::Dispatch	missing	-	baseline
tracing-core/src/dispatcher.rs::struct::SetGlobalDefaultError	missing	-	baseline
