# source_id	kind	status	crystal_refs	notes
non_blocking.rs::const::DEFAULT_BUFFERED_LINES_LIMIT	const	missing	-	auto-generated
non_blocking.rs::func::buffered_lines_limit	func	missing	-	auto-generated
non_blocking.rs::func::dropped_lines	func	missing	-	auto-generated
non_blocking.rs::func::error_counter	func	missing	-	auto-generated
non_blocking.rs::func::lossy	func	missing	-	auto-generated
non_blocking.rs::func::thread_name	func	missing	-	auto-generated
non_blocking.rs::method::ErrorCounter.dropped_lines	method	missing	-	auto-generated
non_blocking.rs::method::NonBlockingBuilder.buffered_lines_limit	method	missing	-	auto-generated
non_blocking.rs::struct::ErrorCounter	struct	missing	-	auto-generated
non_blocking.rs::struct::NonBlocking	struct	missing	-	auto-generated
non_blocking.rs::struct::NonBlockingBuilder	struct	missing	-	auto-generated
non_blocking.rs::struct::WorkerGuard	struct	missing	-	auto-generated
non_blocking.rs::test::backpressure_exerted	test	missing	-	auto-generated
non_blocking.rs::test::logs_dropped_if_lossy	test	missing	-	auto-generated
non_blocking.rs::test::multi_threaded_writes	test	missing	-	auto-generated
rolling.rs::const::DAILY	const	missing	-	auto-generated
rolling.rs::const::HOURLY	const	missing	-	auto-generated
rolling.rs::const::MINUTELY	const	missing	-	auto-generated
rolling.rs::const::NEVER	const	missing	-	auto-generated
rolling.rs::const::WEEKLY	const	missing	-	auto-generated
rolling.rs::func::builder	func	missing	-	auto-generated
rolling.rs::func::daily	func	missing	-	auto-generated
rolling.rs::func::hourly	func	missing	-	auto-generated
rolling.rs::func::minutely	func	missing	-	auto-generated
rolling.rs::func::never	func	missing	-	auto-generated
rolling.rs::func::new	func	missing	-	auto-generated
rolling.rs::func::weekly	func	missing	-	auto-generated
rolling.rs::method::RollingFileAppender.new	method	missing	-	auto-generated
rolling.rs::struct::RollingFileAppender	struct	missing	-	auto-generated
rolling.rs::struct::RollingWriter	struct	missing	-	auto-generated
rolling.rs::struct::Rotation	struct	missing	-	auto-generated
rolling.rs::test::test_join_date	test	missing	-	auto-generated
rolling.rs::test::test_make_writer	test	missing	-	auto-generated
rolling.rs::test::test_max_log_files	test	missing	-	auto-generated
rolling.rs::test::test_never_date_rounding	test	missing	-	auto-generated
rolling.rs::test::test_path_concatenation	test	missing	-	auto-generated
rolling.rs::test::test_rotations	test	missing	-	auto-generated
rolling.rs::test::write_daily_log	test	missing	-	auto-generated
rolling.rs::test::write_hourly_log	test	missing	-	auto-generated
rolling.rs::test::write_minutely_log	test	missing	-	auto-generated
rolling.rs::test::write_never_log	test	missing	-	auto-generated
rolling.rs::test::write_weekly_log	test	missing	-	auto-generated
rolling/builder.rs::func::build	func	missing	-	auto-generated
rolling/builder.rs::func::filename_prefix	func	missing	-	auto-generated
rolling/builder.rs::func::filename_suffix	func	missing	-	auto-generated
rolling/builder.rs::func::max_log_files	func	missing	-	auto-generated
rolling/builder.rs::func::rotation	func	missing	-	auto-generated
rolling/builder.rs::struct::Builder	struct	missing	-	auto-generated
rolling/builder.rs::struct::InitError	struct	missing	-	auto-generated
