# source_id	kind	status	crystal_refs	notes
interest_cache.rs::func::with_lru_cache_size	func	missing	-	auto-generated
interest_cache.rs::func::with_min_verbosity	func	missing	-	auto-generated
interest_cache.rs::method::InterestCacheConfig.with_min_verbosity	method	missing	-	auto-generated
interest_cache.rs::struct::InterestCacheConfig	struct	missing	-	auto-generated
interest_cache.rs::test::test_cache_handles_non_static_target_string	test	missing	-	auto-generated
interest_cache.rs::test::test_cache_returns_previously_computed_value	test	missing	-	auto-generated
interest_cache.rs::test::test_different_log_levels_are_cached_separately	test	missing	-	auto-generated
interest_cache.rs::test::test_different_log_targets_are_cached_separately	test	missing	-	auto-generated
interest_cache.rs::test::test_when_cache_runs_out_of_space_the_callback_is_called_again	test	missing	-	auto-generated
interest_cache.rs::test::test_when_core_interest_cache_is_rebuilt_this_cache_is_also_flushed	test	missing	-	auto-generated
interest_cache.rs::test::test_when_disabled_the_callback_is_always_called	test	missing	-	auto-generated
interest_cache.rs::test::test_when_enabled_the_callback_is_always_called_for_a_low_enough_verbosity	test	missing	-	auto-generated
interest_cache.rs::test::test_when_enabled_the_callback_is_called_only_once_for_a_high_enough_verbosity	test	missing	-	auto-generated
lib.rs::func::format_trace	func	missing	-	auto-generated
lib.rs::test::debug_callsite_is_correct	test	missing	-	auto-generated
lib.rs::test::error_callsite_is_correct	test	missing	-	auto-generated
lib.rs::test::info_callsite_is_correct	test	missing	-	auto-generated
lib.rs::test::trace_callsite_is_correct	test	missing	-	auto-generated
lib.rs::test::warn_callsite_is_correct	test	missing	-	auto-generated
lib.rs::trait::AsLog	trait	missing	-	auto-generated
lib.rs::trait::AsTrace	trait	missing	-	auto-generated
lib.rs::trait::NormalizeEvent	trait	missing	-	auto-generated
lib.rs::trait::Sealed	trait	missing	-	auto-generated
log_tracer.rs::func::builder	func	missing	-	auto-generated
log_tracer.rs::func::ignore_crate	func	missing	-	auto-generated
log_tracer.rs::func::init	func	missing	-	auto-generated
log_tracer.rs::func::init_with_filter	func	missing	-	auto-generated
log_tracer.rs::func::new	func	missing	-	auto-generated
log_tracer.rs::func::with_interest_cache	func	missing	-	auto-generated
log_tracer.rs::func::with_max_level	func	missing	-	auto-generated
log_tracer.rs::method::Builder.new	method	missing	-	auto-generated
log_tracer.rs::method::LogTracer.builder	method	missing	-	auto-generated
log_tracer.rs::struct::Builder	struct	missing	-	auto-generated
log_tracer.rs::struct::LogTracer	struct	missing	-	auto-generated
