# source_id	kind	status	crystal_refs	notes
layer.rs::migration	note	moved	tracing-opentelemetry	The OpenTelemetry bridge moved into the sibling tracing-opentelemetry shard on 2026-07-24.
layer.rs::test::follows_from_adds_link_no_context_activation	test	skipped	-	current SDK does not expose native span links; bridge stores span ids in tracing.follows_from
layer.rs::test::follows_from_adds_link_with_context_activation	test	skipped	-	current SDK does not expose native span links; bridge stores span ids in tracing.follows_from
layer.rs::test::follows_from_multiple_links_no_context_activation	test	skipped	-	current SDK does not expose native span links; bridge stores span ids in tracing.follows_from
layer.rs::test::follows_from_multiple_links_with_context_activation	test	skipped	-	current SDK does not expose native span links; bridge stores span ids in tracing.follows_from
layer.rs::test::includes_level_no_context_activation	test	missing	-	auto-generated
layer.rs::test::includes_level_with_context_activation	test	missing	-	auto-generated
layer.rs::test::includes_span_location_no_context_activation	test	missing	-	auto-generated
layer.rs::test::includes_span_location_with_context_activation	test	missing	-	auto-generated
layer.rs::test::includes_target	test	missing	-	auto-generated
layer.rs::test::includes_thread_no_context_activation	test	missing	-	auto-generated
layer.rs::test::includes_thread_with_context_activation	test	missing	-	auto-generated
layer.rs::test::includes_timings_no_context_activation	test	missing	-	auto-generated
layer.rs::test::includes_timings_with_context_activation	test	missing	-	auto-generated
layer.rs::test::otel_context_propagation	test	ported	spec/tracing_spec.cr	context activation keeps current fiber trace/span aligned during nested tracing spans
layer.rs::test::parent_context	test	ported	spec/tracing_spec.cr	root/child export integration verifies parent span ids
layer.rs::test::parent_context_2	test	ported	spec/tracing_spec.cr	root/child export integration verifies parent span ids
layer.rs::test::propagates_error_fields_from_event_to_span_no_context_activation	test	missing	-	auto-generated
layer.rs::test::propagates_error_fields_from_event_to_span_with_context_activation	test	missing	-	auto-generated
layer.rs::test::propagates_no_error_fields_from_event_to_span_no_context_activation	test	missing	-	auto-generated
layer.rs::test::propagates_no_error_fields_from_event_to_span_with_context_activation	test	missing	-	auto-generated
layer.rs::test::record_after_no_context_activation	test	missing	-	auto-generated
layer.rs::test::record_after_with_context_activation	test	missing	-	auto-generated
layer.rs::test::records_error_fields_no_context_activation	test	missing	-	auto-generated
layer.rs::test::records_error_fields_with_context_activation	test	missing	-	auto-generated
layer.rs::test::records_event_name_no_context_activation	test	missing	-	auto-generated
layer.rs::test::records_event_name_with_context_activation	test	missing	-	auto-generated
layer.rs::test::records_no_error_fields_no_context_activation	test	missing	-	auto-generated
layer.rs::test::records_no_error_fields_with_context_activation	test	missing	-	auto-generated
layer.rs::test::span_kind	test	missing	-	auto-generated
layer.rs::test::span_status_code	test	missing	-	auto-generated
layer.rs::test::span_status_description	test	missing	-	auto-generated
layer.rs::test::trace_id_from_existing_context_no_context_activation	test	missing	-	auto-generated
layer.rs::test::trace_id_from_existing_context_with_context_activation	test	missing	-	auto-generated
layer.rs::test::tracing_error_compatibility_no_context_activation	test	missing	-	auto-generated
layer.rs::test::tracing_error_compatibility_with_context_activation	test	missing	-	auto-generated
layer/filtered.rs::struct::FilteredOpenTelemetryLayer	struct	missing	-	auto-generated
metrics.rs::func::new	func	missing	-	auto-generated
metrics.rs::method::MetricsLayer.new	method	missing	-	auto-generated
metrics.rs::struct::MetricsLayer	struct	missing	-	auto-generated
metrics.rs::test::filter_layer_should_filter_non_metrics_event	test	missing	-	auto-generated
otel_context.rs::func::get_otel_context	func	missing	-	auto-generated
span_ext.rs::enum::SetParentError	enum	missing	-	auto-generated
span_ext.rs::trait::OpenTelemetrySpanExt	trait	missing	-	auto-generated
stack.rs::test::pop_first_value	test	missing	-	auto-generated
stack.rs::test::pop_last_value	test	missing	-	auto-generated
stack.rs::test::pop_middle_value	test	missing	-	auto-generated
